10, 12, 24, 27, 37, 48
12, 13, 19, 21, 42, 53
15, 22, 25, 27, 36, 45
2, 11, 28, 37, 42, 51
11, 21, 25, 32, 43, 50
1, 13, 18, 21, 37, 43
2, 3, 6, 12, 20, 51
1, 9, 12, 13, 24, 27
7, 8, 27, 28, 47, 51
2, 5, 9, 18, 22, 25
6, 10, 22, 25, 28, 48
4, 11, 21, 23, 27, 38
7, 8, 16, 21, 30, 32
12, 17, 18, 22, 36, 52
8, 11, 26, 29, 40, 44
15, 16, 25, 42, 47, 53
1, 8, 13, 21, 32, 34
28, 30, 34, 40, 46, 49
13, 19, 31, 36, 41, 51
1, 5, 13, 16, 49, 53
7, 20, 27, 29, 38, 52
12, 21, 31, 40, 43, 53
1, 4, 10, 13, 24, 45
1, 3, 4, 7, 15, 35
16, 21, 23, 27, 46, 50
10, 18, 26, 37, 43, 53
9, 20, 31, 32, 40, 45
14, 22, 24, 30, 35, 39
8, 12, 14, 39, 43, 48
3, 23, 33, 37, 38, 45
2, 5, 19, 30, 31, 46
10, 14, 16, 34, 38, 47
6, 10, 16, 40, 46, 48
10, 14, 16, 27, 41, 47
22, 29, 42, 46, 47, 52
20, 25, 33, 36, 51, 52
1, 11, 29, 35, 36, 46
14, 19, 25, 30, 37, 40
22, 31, 35, 43, 44, 51
3, 5, 11, 27, 36, 44
1, 5, 18, 20, 40, 49
4, 5, 12, 37, 49, 50
13, 15, 22, 30, 31, 32
18, 23, 34, 38, 46, 47
1, 3, 4, 15, 17, 48
11, 27, 28, 31, 47, 48
2, 6, 34, 36, 44, 50
3, 8, 31, 32, 47, 52
7, 10, 15, 42, 44, 49
7, 13, 18, 21, 32, 48
14, 26, 27, 38, 40, 45
18, 26, 31, 38, 43, 53
6, 12, 26, 28, 33, 45
3, 25, 33, 47, 51, 53
10, 21, 27, 30, 31, 32
2, 15, 18, 22, 36, 49
5, 22, 38, 39, 47, 52
1, 2, 5, 15, 31, 49
1, 13, 23, 28, 33, 38
2, 14, 18, 25, 30, 50
10, 18, 27, 43, 47, 49
10, 15, 21, 31, 32, 53
19, 20, 30, 36, 44, 51
11, 15, 16, 18, 48, 52
2, 10, 13, 33, 39, 48
6, 10, 17, 35, 38, 42
3, 13, 25, 50, 52, 53
6, 9, 15, 18, 45, 53
7, 11, 15, 37, 45, 51
2, 4, 11, 27, 32, 38
11, 14, 23, 24, 27, 41
3, 19, 24, 30, 42, 44
20, 25, 35, 37, 39, 48
5, 8, 13, 44, 46, 51
17, 22, 40, 42, 43, 46
2, 12, 16, 27, 31, 36
7, 14, 16, 19, 28, 34
6, 16, 30, 37, 50, 52
11, 23, 28, 31, 43, 48
9, 21, 34, 35, 37, 43
6, 15, 22, 25, 33, 44
6, 31, 40, 47, 48, 52
6, 16, 17, 18, 24, 41
9, 17, 25, 29, 52, 53
10, 14, 35, 42, 50, 52
14, 21, 24, 32, 41, 45
10, 12, 19, 39, 51, 53
3, 10, 25, 33, 37, 44
5, 18, 25, 30, 47, 48
11, 12, 17, 32, 36, 53
2, 18, 19, 27, 33, 52
